query-id,RPKG,RPKG-no characteristics feature
4,1,1
5,-1,-1
8,2,2
9,1,3
10,1,1
11,1,1
12,1,-1
13,11,-1
14,3,-1
16,1,1
17,3,-1
18,1,1
19,1,8
20,1,-1
21,1,-1
22,2,-1
24,1,2
25,1,1
26,1,1
27,1,-1
28,1,1
29,1,-1
30,1,-1
31,8,-1
32,1,-1
33,-1,-1
34,-1,-1
35,1,-1
36,1,-1
37,-1,-1
38,1,-1
39,1,-1
40,1,3
41,1,-1
42,1,5
43,1,1
44,1,1
45,1,1
46,1,-1
47,1,-1
48,3,-1
49,1,-1
50,1,-1
51,1,1
52,2,-1
54,1,-1
55,1,2
63,-1,-1
64,4,-1
65,1,1
66,-1,-1
67,-1,-1
68,-1,-1
69,4,9
71,-1,-1
72,13,-1
73,-1,-1
74,-1,-1
75,-1,-1
76,4,-1
78,-1,-1
79,1,-1
80,-1,-1
81,1,1
83,-1,-1
84,1,1
85,1,-1
86,-1,-1
87,7,-1
88,3,-1
89,5,-1
90,1,1
91,2,-1
92,1,2
93,-1,-1
94,17,-1
95,8,-1
96,1,-1
97,-1,-1
98,8,-1
99,1,-1
100,1,-1
